인구수_x,shortName,x,y,면적,광역시도,행정구역,시도,군구,count,인구수_y,ratio
439683,광주북구,3,19,121.74,광주광역시,북구,광주광역시,북구,2,422629,0.473228292426691
584517,대구달서,8,15,62.3,대구광역시,달서구,대구광역시,달서구,1,533810,0.18733257151420918
178203,대구달성,9,15,427.03,대구광역시,달성군,대구광역시,달성군,1,263031,0.3801833243990252
431681,대구북구,9,13,95.5,대구광역시,북구,대구광역시,북구,2,426284,0.46917078755008396
196378,대구서구,8,14,17.5,대구광역시,서구,대구광역시,서구,2,159908,1.2507191635190233
427477,대구수성,10,14,76.49,대구광역시,수성구,대구광역시,수성구,1,408238,0.24495514871227075
74950,대구중구,10,13,7.08,대구광역시,중구,대구광역시,중구,2,83945,2.382512359282864
190815,대전대덕,5,12,68.45,대전광역시,대덕구,대전광역시,대덕구,2,170869,1.1704873324008451
236524,대전동구,5,13,136.8,대전광역시,동구,대전광역시,동구,1,218927,0.45677326232031684
321618,대전유성,4,13,177.16,대전광역시,유성구,대전광역시,유성구,7,362665,1.9301559290254091
243626,대전중구,5,14,61.98,대전광역시,중구,대전광역시,중구,1,224799,0.4448418364850378
142223,부산기장,12,16,217.9,부산광역시,기장군,부산광역시,기장군,1,179384,0.5574633189136154
292375,부산북구,9,16,38.3,부산광역시,북구,부산광역시,북구,1,276684,0.3614231397550997
228824,부산사상,9,17,35.8,부산광역시,사상구,부산광역시,사상구,2,203029,0.9850809490269863
322757,부산사하,9,19,40.89,부산광역시,사하구,부산광역시,사하구,1,300922,0.3323120277015306
107107,부산서구,9,18,13.67,부산광역시,서구,부산광역시,서구,1,104449,0.9574050493542304
198383,부산연제,11,17,12.08,부산광역시,연제구,부산광역시,연제구,2,202919,0.9856149498075586
397134,부산해운대,12,17,51.44,부산광역시,해운대구,부산광역시,해운대구,2,383355,0.5217096424984675
526157,서울강남,6,7,39.5,서울특별시,강남구,서울특별시,강남구,2,537139,0.37234309927225545
432028,서울강동,8,5,24.6,서울특별시,강동구,서울특별시,강동구,1,458953,0.21788723464058413
310292,서울강북,5,2,23.6,서울특별시,강북구,서울특별시,강북구,1,291384,0.34318974274496883
342909,서울광진,7,6,17.05,서울특별시,광진구,서울특별시,광진구,1,336169,0.2974694275795805
547202,서울노원,6,1,35.44,서울특별시,노원구,서울특별시,노원구,1,500104,0.19995840865100062
342429,서울동대문,7,4,14.2,서울특별시,동대문구,서울특별시,동대문구,1,338115,0.2957573606613135
383917,서울동작,5,5,16.36,서울특별시,동작구,서울특별시,동작구,1,380622,0.2627278507285443
407416,서울서초,6,6,47.04,서울특별시,서초구,서울특별시,서초구,1,404484,0.24722856775546126
279939,서울성동,7,5,16.85,서울특별시,성동구,서울특별시,성동구,1,279374,0.3579431156800561
